DQP,Agency,Project,HMIS ID,Project Type,Project2
,Seminole County,Seminole County-SEM ESG-CV Housing:RRH,1053,Rapid Re-housing - RRH,1053 - Seminole County-SEM ESG-CV Housing:RRH
,Miracle of Love,Miracle of Love-ORN Housing & Supportive Services:RRH,1054,Rapid Re-housing - RRH,1054 - Miracle of Love-ORN Housing & Supportive Services:RRH
,Samaritan Resource Center,Samaritan Resource Center-DCF ESG-CV Housing & Supportive Services:RRH,1055,Rapid Re-housing - RRH,1055 - Samaritan Resource Center-DCF ESG-CV Housing & Supportive Services:RRH
,Coalition for the Homeless,Coalition for the Homeless-Orange County-ESG-CV Housing & Services:RRH,1056,Rapid Re-housing - RRH,1056 - Coalition for the Homeless-Orange County-ESG-CV Housing & Services:RRH
,Seminole County,Seminole County-SEM Housing Authority:PH,1057,PH – Housing Only,1057 - Seminole County-SEM Housing Authority:PH
,Miracle of Love,Miracle of Love-ORN ESG-CV Housing & Supportive Services:RRH,1058,Rapid Re-housing - RRH,1058 - Miracle of Love-ORN ESG-CV Housing & Supportive Services:RRH
,Catholic Charities,Catholic Charities-ORN ESG-CV Housing & Supportive Services:RRH,1059,Rapid Re-housing - RRH,1059 - Catholic Charities-ORN ESG-CV Housing & Supportive Services:RRH
,Family Promise of Greater Orlando,Family Promise-ORN ESG Prevention Services:HP,1062,Homelessness Prevention - HP,1062 - Family Promise-ORN ESG Prevention Services:HP
,Salvation Army,Salvation Army Mens Lodge-Veteran Services:ES,1063,Emergency Shelter - ES,1063 - Salvation Army Mens Lodge-Veteran Services:ES
,Homeless Services Network - Support Services,Homeless Services Network-DCF ESG-CV Housing & Supportive Services:RRH,1064,Rapid Re-housing - RRH,1064 - Homeless Services Network-DCF ESG-CV Housing & Supportive Services:RRH
,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Housing & Supportive Services:RRH,1066,Rapid Re-housing - RRH,1066 - Community Hope Center-DCF ESG-CV Housing & Supportive Services:RRH
,The Christian Sharing Center,The Christian Sharing Center-DCF ESG-CV Housing & Supportive Services:RRH,1067,Rapid Re-housing - RRH,1067 - The Christian Sharing Center-DCF ESG-CV Housing & Supportive Services:RRH
,Catholic Charities,Catholic Charities-DCF ESG-CV Housing & Supportive Services:RRH,1068,Rapid Re-housing - RRH,1068 - Catholic Charities-DCF ESG-CV Housing & Supportive Services:RRH
,Family Promise of Greater Orlando,Family Promise-DCF ESG-CV RRH Housing & Services:RRH,1069,Rapid Re-housing - RRH,1069 - Family Promise-DCF ESG-CV RRH Housing & Services:RRH
,IMPOWER,IMPOWER-DCF ESG-CV RRH Housing & Services:RRH,1070,Rapid Re-housing - RRH,1070 - IMPOWER-DCF ESG-CV RRH Housing & Services:RRH
,Christian Service Center of Central Florida,Christian Service Center-DCF ESG-CV Housing & Supportive Services:RRH,1072,Rapid Re-housing - RRH,1072 - Christian Service Center-DCF ESG-CV Housing & Supportive Services:RRH
,Community Hope Center of Osceola County,Community Hope Center-ORN ESG-CV Housing & Supportive Services:RRH,1073,Rapid Re-housing - RRH,1073 - Community Hope Center-ORN ESG-CV Housing & Supportive Services:RRH
,Homeless Services Network - Support Services,Homeless Services Network-ORN Bridge Housing:ES,1074,Emergency Shelter - ES,1074 - Homeless Services Network-ORN Bridge Housing:ES
,Homeless Services Network - Support Services,Homeless Services Network-OSC Bridge Housing:ES,1075,Emergency Shelter - ES,1075 - Homeless Services Network-OSC Bridge Housing:ES
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-Employment Center (COVID):SSO,1076,Services Only,1076 - Pathlight Home Grand Ave EDC-Employment Center (COVID):SSO
,Pathlight Home Grand Ave EDC,Pathlight Home Grand Ave EDC-SEM Housing & Supportive Services:PSH,1077,Permenant Supportive Housing - PSH,1077 - Pathlight Home Grand Ave EDC-SEM Housing & Supportive Services:PSH
,Coalition for the Homeless,Coalition for the Homeless-City of Orlando-ESG-CV Housing & Services:RRH,1078,Rapid Re-housing - RRH,1078 - Coalition for the Homeless-City of Orlando-ESG-CV Housing & Services:RRH
,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Emergency Shelter:ES,1079,Emergency Shelter - ES,1079 - Community Hope Center-DCF ESG-CV Emergency Shelter:ES
,Health Care Center for the Homeless,Health Care Center for the Homeless-DCF ESG-CV Street Outreach:SO,1081,Street Outreach - SO,1081 - Health Care Center for the Homeless-DCF ESG-CV Street Outreach:SO
,Step Up on Second,Step Up on Second-DCF ESG-CV Street Outreach:SO,1082,Street Outreach - SO,1082 - Step Up on Second-DCF ESG-CV Street Outreach:SO
,Community Hope Center of Osceola County,Community Hope Center-DCF ESG-CV Homeless Prevention:HP,1083,Homelessness Prevention - HP,1083 - Community Hope Center-DCF ESG-CV Homeless Prevention:HP
,Homeless Services Network - Support Services,Homeless Services Network-DCF ESG-CV Homeless Prevention:HP,1084,Homelessness Prevention - HP,1084 - Homeless Services Network-DCF ESG-CV Homeless Prevention:HP
,The Transition House,The Transition House-DCF ESG-CV Emergency Shelter:ES,1085,Emergency Shelter - ES,1085 - The Transition House-DCF ESG-CV Emergency Shelter:ES
,Christian Service Center of Central Florida,Christian Service Center-Orlando Supportive Services:SSO,1086,Services Only,1086 - Christian Service Center-Orlando Supportive Services:SSO
,Christian Service Center of Central Florida,Christian Service Center-Ocoee Supportive Services:SSO,1087,Services Only,1087 - Christian Service Center-Ocoee Supportive Services:SSO
,Christian Service Center of Central Florida,Christian Service Center-Winter Park Supportive Services:SSO,1088,Services Only,1088 - Christian Service Center-Winter Park Supportive Services:SSO
,Wayne Densch Center,Wayne Densch Center-Case Management Services at Gannet Pointe:SSO,1089,Services Only,1089 - Wayne Densch Center-Case Management Services at Gannet Pointe:SSO
,Homeless Services Network - Support Services,Osceola County-Cold Night Shelter:ES,1090,Emergency Shelter - ES,1090 - Osceola County-Cold Night Shelter:ES
,Homeless Services Network - Support Services,Homeless Services Network-Intake-CSC:CES,1092,Coordinated Entry,1092 - Homeless Services Network-Intake-CSC:CES
,Homeless Services Network - Support Services,Homeless Services Network-Intake Hubs:CES,1094,Coordinated Entry,1094 - Homeless Services Network-Intake Hubs:CES
,United Against Poverty,United Against Poverty-CDBG Education Project:SSO,1095,Services Only,1095 - United Against Poverty-CDBG Education Project:SSO
,Harbor House,Harbor House-Extended Stay Housing:TH,1096,Transitional Housing - TH,1096 - Harbor House-Extended Stay Housing:TH
,Catholic Charities,Catholic Charities-ORN Housing & Support Services:RRH,1098,Rapid Re-housing - RRH,1098 - Catholic Charities-ORN Housing & Support Services:RRH
,Coalition for the Homeless,Coalition for the Homeless-ORN Housing & Support Services:RRH,1099,Rapid Re-housing - RRH,1099 - Coalition for the Homeless-ORN Housing & Support Services:RRH
,Embrace Families Solutions,Embrace Families Solutions-ORN Housing & Support Services:RRH,1100,Rapid Re-housing - RRH,1100 - Embrace Families Solutions-ORN Housing & Support Services:RRH
,Family Promise of Greater Orlando,Family Promise-ORN Housing & Support Services:RRH,1101,Rapid Re-housing - RRH,1101 - Family Promise-ORN Housing & Support Services:RRH
,Zebra Coalition,Zebra Coalition-Youth Bridge Housing:ES,1102,Emergency Shelter - ES,1102 - Zebra Coalition-Youth Bridge Housing:ES
,Zebra Coalition,Zebra Coalition-Drop-In Center Services:SSO,1103,Services Only,1103 - Zebra Coalition-Drop-In Center Services:SSO
,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Shelter:ES,1104,Emergency Shelter - ES,1104 - Coalition for the Homeless-Community Outreach Shelter:ES
,Coalition for the Homeless,Coalition for the Homeless-Community Outreach:SO,1105,Street Outreach - SO,1105 - Coalition for the Homeless-Community Outreach:SO
,Coalition for the Homeless,Coalition for the Homeless-Community Outreach Bridge Housing:ES,1106,Emergency Shelter - ES,1106 - Coalition for the Homeless-Community Outreach Bridge Housing:ES
,Homeless Services Network - Support Services,Homeless Services Network-DCF TANF Homeless Prevention:HP,1107,Homelessness Prevention - HP,1107 - Homeless Services Network-DCF TANF Homeless Prevention:HP
,Rescue Outreach Mission,Rescue Outreach Mission-Family Shelter:ES,1109,Emergency Shelter - ES,1109 - Rescue Outreach Mission-Family Shelter:ES
,The Christian Sharing Center,The Christian Sharing Center-SEM ESG-CV Prevention Services:HP,1110,Homelessness Prevention - HP,1110 - The Christian Sharing Center-SEM ESG-CV Prevention Services:HP
,The Christian Sharing Center,The Christian Sharing Center-SEM ESG-CV Street Outreach:SO,1111,Street Outreach - SO,1111 - The Christian Sharing Center-SEM ESG-CV Street Outreach:SO
,Samaritan Resource Center,Samaritan Resource Center-DCF ESG-CV Street Outreach:SO,1112,Street Outreach - SO,1112 - Samaritan Resource Center-DCF ESG-CV Street Outreach:SO
,SALT Outreach Inc.,SALT Outreach-DCF ESG-CV Street Outreach:SO,1113,Street Outreach - SO,1113 - SALT Outreach-DCF ESG-CV Street Outreach:SO
,Coalition for the Homeless,Coalition for the Homeless-DCF ESG-CV Housing & Support Services:RRH,1114,Rapid Re-housing - RRH,1114 - Coalition for the Homeless-DCF ESG-CV Housing & Support Services:RRH
,Christian Service Center of Central Florida,Christian Service Center-DCF ESG-CV Street Outreach:SO,1115,Street Outreach - SO,1115 - Christian Service Center-DCF ESG-CV Street Outreach:SO
,Catholic Charities,Catholic Charities-DCF ESG-CV Street Outreach:SO,1116,Street Outreach - SO,1116 - Catholic Charities-DCF ESG-CV Street Outreach:SO
,Coalition for the Homeless,Coalition for the Homeless-DCF ESG-CV Street Outreach:SO,1117,Street Outreach - SO,1117 - Coalition for the Homeless-DCF ESG-CV Street Outreach:SO
,Orange County,Orange County-Housing & Community Development PHA:PH-H,1118,PH – Housing Only,1118 - Orange County-Housing & Community Development PHA:PH-H
,Osceola County,Osceola County-Osceola Housing Authority PHA:PH-H,1119,PH – Housing Only,1119 - Osceola County-Osceola Housing Authority PHA:PH-H
,Homeless Services Network - Support Services,Homeless Services Network-SEM Bridge Housing:ES,1120,Emergency Shelter - ES,1120 - Homeless Services Network-SEM Bridge Housing:ES
,Pathway Homes of Florida,Pathway Homes of Florida-Move On Supportive Services:SSO,1121,Services Only,1121 - Pathway Homes of Florida-Move On Supportive Services:SSO
,Catholic Charities,Catholic Charities-ORN ESG-CV Homelessness Prevention:HP,1122,Homelessness Prevention - HP,1122 - Catholic Charities-ORN ESG-CV Homelessness Prevention:HP
,Coalition for the Homeless,Coalition for the Homeless-ORN ESG-CV Homelessness Preventions:HP,1123,Homelessness Prevention - HP,1123 - Coalition for the Homeless-ORN ESG-CV Homelessness Preventions:HP
,Family Promise of Greater Orlando,Family Promise-ORL ESG-CV Homelessness Prevention:HP,1124,Homelessness Prevention - HP,1124 - Family Promise-ORL ESG-CV Homelessness Prevention:HP
,Aspire Health Partners,Aspire Health Partners-Anchor Shelter:ES,1125,Emergency Shelter - ES,1125 - Aspire Health Partners-Anchor Shelter:ES
,Seminole County,Seminole County-HUD I Housing & Support Services:RRH,1126,Rapid Re-housing - RRH,1126 - Seminole County-HUD I Housing & Support Services:RRH
,Christian Service Center of Central Florida,Christian Service Center-ORL ESG Homelessness Prevention Services:HP,1127,Homelessness Prevention - HP,1127 - Christian Service Center-ORL ESG Homelessness Prevention Services:HP
,Embrace Families Solutions,Embrace Families Solutions-HUD I Housing & Support Services:RRH,1128,Rapid Re-housing - RRH,1128 - Embrace Families Solutions-HUD I Housing & Support Services:RRH
,Zebra Coalition,Zebra Coalition-HUD I Housing & Support Services:RRH,1129,Rapid Re-housing - RRH,1129 - Zebra Coalition-HUD I Housing & Support Services:RRH
,Community Hope Center of Osceola County,Community Hope Center-HUD II Housing & Support Services:RRH,1130,Rapid Re-housing - RRH,1130 - Community Hope Center-HUD II Housing & Support Services:RRH
,Coalition for the Homeless,Coalition for the Homeless-HUD II Housing & Support Services:RRH,1131,Rapid Re-housing - RRH,1131 - Coalition for the Homeless-Housing & Services:RRH
,Embrace Families Solutions,Embrace Families Solutions-HUD II Housing & Support Services:RRH,1132,Rapid Re-housing - RRH,1132 - Embrace Families Solutions-HUD II Housing & Support Services:RRH
,Community Assisted and Supported Living,Community Assisted and Supported Living-Fairlawn Village:PSH,1136,Permenant Supportive Housing - PSH,1136 - Community Assisted and Supported Living-Fairlawn Village:PSH
,Catholic Charities,Catholic Charities Pathways to Care-Recuperative Care STEP 2:ES,1137,Emergency Shelter - ES,1137 - Catholic Charities Pathways to Care-Recuperative Care STEP 2:ES
,Church and Community Assistance Program,Church and Community Assistance Program-Client Services:OT,1139,Services Only,1139 - Church and Community Assistance Program-Client Services:OT
,Christian Service Center of Central Florida,Christian Service Center Orlando-DCF ESG-CV Homeless Prevention:HP,1140,Homelessness Prevention - HP,1140 - Christian Service Center Orlando-DCF ESG-CV Homeless Prevention:HP
,Christian Service Center of Central Florida,Christian Service Center Ocoee-DCF ESG-CV Homeless Prevention:HP,1141,Homelessness Prevention - HP,1141 - Christian Service Center Ocoee-DCF ESG-CV Homeless Prevention:HP
,Christian Service Center of Central Florida,Christian Service Center Winter Park-DCF ESG-CV Homeless Prevention:HP,1142,Homelessness Prevention - HP,1142 - Christian Service Center Winter Park-DCF ESG-CV Homeless Prevention:HP
,Homeless Services Network - Support Services,Orange County-Cold Night Shelter:ES,1143,Emergency Shelter - ES,1143 - Orange County-Cold Night Shelter:ES
,Family Promise of Greater Orlando,Family Promise-HUD I Housing & Support Services:RRH,1144,Rapid Re-housing - RRH,1144 - Family Promise-HUD I Housing & Support Services:RRH
,Family Promise of Greater Orlando,Family Promise-HUD II Housing & Support Services:RRH,1145,Rapid Re-housing - RRH,1145 - Family Promise-Housing & Services:RRH
,Catholic Charities,Catholic Charities-HUD II Housing & Support Services:RRH,1146,Rapid Re-housing - RRH,1146 - Catholic Charities-Housing & Services:RRH
,Osceola County,Osceola County-HUD II Housing & Support Services:RRH,1147,Rapid Re-housing - RRH,1147 - Osceola County-HUD II Housing & Support Services:RRH
,Aspire Health Partners,Aspire Health Partners-ORN Pre-Committment Diversion Services:SSO,1148,Services Only,1148 - Aspire Health Partners-ORN Pre-Committment Diversion Services:SSO
,Samaritan Resource Center,Samaritan Resource Center-ORN ESG-CV Non-Congregate Shelter:ES,1149,Emergency Shelter - ES,1149 - Samaritan Resource Center-ORN ESG-CV Non-Congregate Shelter:ES
,SALT Outreach Inc.,SALT Outreach-ORN ESG-CV Non Congregate Shelter:ES,1150,Emergency Shelter - ES,1150 - SALT Outreach-ORN ESG-CV Non Congregate Shelter:ES
,Christian Service Center of Central Florida,Christian Service Center-ORN PSH Supportive Services:SSO,1151,Services Only,1151 - Christian Service Center-ORN PSH Supportive Services:SSO
,Christian Service Center of Central Florida,Christian Service Center-Orange County-ESG-CV Housing & Supportive Services:RRH,1152,Rapid Re-housing - RRH,1152 - Christian Service Center-Orange County-ESG-CV Housing & Supportive Services:RRH
,Rescue Outreach Mission,Rescue Outreach Mission-Bridge Housing:ES,1154,Emergency Shelter - ES,1154 - Rescue Outreach Mission-Bridge Housing:ES
,The Faine House,The Faine House-Youth Transitional Housing:TH,1155,Transitional Housing - TH,1155 - The Faine House-Youth Transitional Housing:TH
,The Christian Sharing Center,The Christian Sharing Center-Project RISE Workforce Development:OT,1156,Other,1156 - The Christian Sharing Center-Project RISE Workforce Development:OT
,SALT Outreach Inc.,SALT Outreach-SEM ESG Street Outreach:SO,1157,Street Outreach - SO,1157 - SALT Outreach-SEM ESG Street Outreach:SO
,Christian Service Center of Central Florida,Christian Service Center-Medical/Legal Advisory Services:OT,1158,Other,1158 - Christian Service Center-Medical/Legal Advisory Services:OT
,Homeless Service Network of Central Florida,City of Orlando-Orlando Housing Authority EHV Placements:PH-H,1159,PH – Housing Only,1159 - City of Orlando-Orlando Housing Authority EHV Placements:PH-H
,Samaritan Resource Center,Samaritan Resource Center-ORN PSH Supportive Services:SSO,1160,Services Only,1160 - Samaritan Resource Center-ORN PSH Supportive Services:SSO
,SALT Outreach Inc.,SALT Outreach-ORN PSH Supportive Services:SSO,1161,Services Only,1161 - SALT Outreach-ORN PSH Supportive Services:SSO
,Pathway Homes of Florida,Pathway Homes of Florida-ORN PSH Supportive Services:SSO,1162,Services Only,1162 - Pathway Homes of Florida-ORN PSH Supportive Services:SSO
,Health Care Center for the Homeless,Health Care Center for the Homeless-ORN PSH Supportive Services:SSO,1163,Services Only,1163 - Health Care Center for the Homeless-ORN PSH Supportive Services:SSO
,Aspire Health Partners,SEM Targeted Community Street Outreach,1164,Services Only,1164 - SEM Targeted Community Street Outreach
,Coalition for the Homeless,Coalition for the Homeless - Diversion Triage,1165,Other,1165 - Coalition for the Homeless - Diversion Triage
,Coalition for the Homeless,Coalition for the Homeless - Diversion,1166,Other,1166 - Coalition for the Homeless - Diversion
,Homeless Services Network - Support Services,Coordinated Entry,1167,Coordinated Entry,1167 - Coordinated Entry
,JUMP Ministries,JUMP Inn Drop-in Center,1168,Other,1168 - JUMP Inn Drop-in Center
,Embrace Families Solutions,Embrace Families Solutions-Child Welfare Freedom First RRH,1169,Rapid Re-housing - RRH,1169 - Embrace Families Solutions-Child Welfare Freedom First RRH
,IMPOWER,IMPOWER-Youth RRH Housing & Services,1170,Rapid Re-housing - RRH,1170 - IMPOWER-Youth RRH Housing & Services
,IMPOWER,IMPOWER-Youth Families-RRH Housing & Services,1171,Rapid Re-housing - RRH,1171 - IMPOWER-Youth Families-RRH Housing & Services
,Miracle of Love,Miracle of Love-RRH Housing & Supportive Services,1172,Rapid Re-housing - RRH,1172 - Miracle of Love-RRH Housing & Supportive Services
,Step Up on Second,Step Up on Second-ORN Street Outreach,1174,Street Outreach - SO,1174 - Step Up on Second-ORN Street Outreach
