DQP,Agency,Project,HMIS ID,Project Type
,Orlando Union Rescue Mission,Orlando Union Rescue Mission Men's Division-Transitional Housing:TH,395,Transitional Housing - TH
,Orlando Union Rescue Mission,Orlando Union Rescue Mission Women & Children's Division-Transitional Housing:TH,677,Transitional Housing - TH
,Recovery House,Recovery House-Men's Treatment Program:TH,214,Transitional Housing - TH
,Safehouse of Seminole,Safehouse of Seminole-Transitional Housing:TH,355,Transitional Housing - TH
,Salvation Army,Salvation Army Men's Lodge-Transitional Housing:TH,577,Transitional Housing - TH
,Salvation Army,Salvation Army Women & Children's Lodge-Transitional Housing:TH,578,Transitional Housing - TH
,St. Francis House of Hospitality,St. Francis House:TH,980,Transitional Housing - TH
,The Faine House,The Faine House-Youth Transitional Housing:TH,1155,Transitional Housing - TH
,The Transition House,The Transition House-Veterans Grant Per Diem:TH,350,Transitional Housing - TH
,X-Tending Hands,X-Tending Hands:TH,982,Transitional Housing - TH
